GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
lab1,default,Main,151,0,0,0,25,0,2,0,2,0
lab1,com.itmo.siaod.perfect_hash.hash_functions,UniversalLinearHashFunction,20,103,5,7,4,17,5,4,0,3
lab1,com.itmo.siaod.extendible_hash.buckets,LocalBucket,5,86,3,7,2,19,3,9,0,7
lab1,com.itmo.siaod.extendible_hash.buckets,GlobalBucket,4,223,4,14,0,38,4,15,0,10
lab1,com.itmo.siaod.extendible_hash.buckets.entries,Entry,3,23,0,0,1,10,1,5,1,5
lab1,com.itmo.siaod.perfect_hash.exceptions,CollisionException,0,7,0,0,0,4,0,2,0,2
lab1,com.itmo.siaod.perfect_hash.exceptions,TooBigNumberException,4,3,0,0,2,2,1,1,1,1
lab1,com.itmo.siaod.perfect_hash.prime_numbers,IPrimeGenerator,0,74,0,14,0,13,0,9,0,2
lab1,com.itmo.siaod.perfect_hash.prime_numbers,IDeterministicMillerRabinTest,12,296,3,47,0,34,3,26,0,4
lab1,com.itmo.siaod.perfect_hash.hash_tables,HashTableSiaod,6,280,2,26,1,48,2,22,0,10
lab1,com.itmo.siaod.extendible_hash.hash_tables,HashTableSiaod,0,24,0,0,0,6,0,4,0,4
lab1,com.itmo.siaod.perfect_hash.utils,RandomSiaod,3,10,0,0,1,2,1,2,1,2
lab1,com.itmo.siaod.perfect_hash.profiler,Profiler,225,0,8,0,49,0,10,0,6,0
lab1,com.itmo.siaod.perfect_hash.profiler,ProfilingReport,125,0,2,0,13,0,8,0,7,0
lab1,com.itmo.siaod.perfect_hash.hash_tables.buckets,SimpleBucket,0,95,0,8,0,26,0,15,0,11
lab1,com.itmo.siaod.perfect_hash.hash_tables.buckets,HashTableBucket,20,230,12,24,3,46,14,21,2,15
